paperID,imageID,size,uncertainty
,2008T15,,4
2008T15,10.1109@TVCG.2008.115,,9
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_01_T15.jpg,578493,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_02_T15.jpg,745464,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_03_T15.jpg,618579,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_04_T15.jpg,577875,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_05_T15.jpg,2220450,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_06_T15.jpg,1557354,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_07_T15.jpg,1505856,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_08_T15.jpg,3714975,1
10.1109@TVCG.2008.115,10.1109@TVCG.2008.115_09_09_T15.jpg,5160834,1
2008T15,10.1109@TVCG.2008.120,,10
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_01_T15.jpg,1483983,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_03_T15.jpg,875196,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_04_T15.jpg,1505049,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_05_T15.jpg,733320,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_06_T15.jpg,723240,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_07_T15.jpg,1735992,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_08_T15.jpg,714792,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_09_T15.jpg,619752,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_10_T15.jpg,504426,1
10.1109@TVCG.2008.120,10.1109@TVCG.2008.120_10_11_T15.jpg,1831200,1
2008T15,10.1109@TVCG.2008.181,,8
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_01_T17.jpg,1312209,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_02_T17.jpg,1939050,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_03_T17.jpg,687924,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_04_T17.jpg,282375,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_05_T17.jpg,3451932,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_06_T17.jpg,3332385,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_07_T17.jpg,3562020,1
10.1109@TVCG.2008.181,10.1109@TVCG.2008.181_08_08_T17.jpg,2500350,1
2008T15,10.1109@TVCG.2008.186,,8
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_01_T15.jpg,1155636,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_02_T15.jpg,675876,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_03_T15.jpg,2374194,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_04_T15.jpg,514008,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_05_T15.jpg,231168,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_06_T15.jpg,730296,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_07_T15.jpg,1613670,1
10.1109@TVCG.2008.186,10.1109@TVCG.2008.186_08_08_T15.jpg,1094424,1
