paperID,imageID,size,uncertainty
,2015T08,,2
2015T08,10.1109@TVCG.2015.2467198,,14
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_01_T08.jpg,1771776,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_02_T08.jpg,802560,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_03_T08.jpg,241956,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_04_T08.jpg,181920,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_05_T08.jpg,754755,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_06_T08.jpg,935748,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_07_T08.jpg,936888,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_08_T08.jpg,158976,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_09_T08.jpg,1503186,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_10_T08.jpg,1326960,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_11_T08.jpg,762528,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_12_T08.jpg,897312,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_13_T08.jpg,678153,1
10.1109@TVCG.2015.2467198,10.1109@TVCG.2015.2467198_14_14_T08.jpg,1371684,1
2015T08,10.1109@TVCG.2015.2467412,,9
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_01_T08.jpg,380160,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_02_T08.jpg,1110960,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_03_T08.jpg,1368711,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_05_T08.jpg,2440650,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_06_T08.jpg,1239750,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_08_T08.jpg,637038,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_09_T08.jpg,948513,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_10_T08.jpg,7091700,1
10.1109@TVCG.2015.2467412,10.1109@TVCG.2015.2467412_09_11_T08.jpg,5471976,1
