paperID,imageID,size,uncertainty
,2011T14,,1
2011T14,10.1109@TVCG.2011.229,,13
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_01_T17.jpg,660672,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_02_T17.jpg,596250,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_03_T17.jpg,528528,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_04_T17.jpg,1494000,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_05_T17.jpg,607104,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_06_T17.jpg,703872,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_07_T17.jpg,316173,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_08_T17.jpg,358047,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_09_T17.jpg,1044000,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_10_T17.jpg,368424,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_11_T17.jpg,609336,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_12_T17.jpg,364536,1
10.1109@TVCG.2011.229,10.1109@TVCG.2011.229_13_13_T17.jpg,387072,1
