paperID,imageID,size,uncertainty
,2014T17,,11
2014T17,10.1109@TVCG.2014.2346248,,13
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_01_T17.jpg,2810808,4.154092e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_02_T17.jpg,348096,5.503086e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_03_T17.jpg,782760,3.543994e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_04_T17.jpg,790272,3.465581e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_05_T17.jpg,384849,3.261761e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_06_T17.jpg,635625,3.827214e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_07_T17.jpg,626220,2.907346e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_08_T17.jpg,1893312,3.329753e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_09_T17.jpg,509220,3.324057e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_10_T17.jpg,362112,4.580624e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_11_T17.jpg,1959945,3.353344e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_12_T17.jpg,605814,4.883527e+00
10.1109@TVCG.2014.2346248,10.1109@TVCG.2014.2346248_13_13_T17.jpg,1143054,3.932000e+00
2014T17,10.1109@TVCG.2014.2346747,,5
10.1109@TVCG.2014.2346747,10.1109@TVCG.2014.2346747_05_01_T17.jpg,959148,6.377815e+00
10.1109@TVCG.2014.2346747,10.1109@TVCG.2014.2346747_05_02_T17.jpg,1771713,4.509985e+00
10.1109@TVCG.2014.2346747,10.1109@TVCG.2014.2346747_05_03_T17.jpg,980592,5.019002e+00
10.1109@TVCG.2014.2346747,10.1109@TVCG.2014.2346747_05_04_T17.jpg,1793376,4.194499e+00
10.1109@TVCG.2014.2346747,10.1109@TVCG.2014.2346747_05_05_T17.jpg,3609504,4.712233e+00
2014T17,10.1109@TVCG.2014.2346755,,9
10.1109@TVCG.2014.2346755,10.1109@TVCG.2014.2346755_09_01_T17.jpg,2636820,4.607621e+00
