paperID,imageID,size,uncertainty
,2012T10,,6
2012T10,10.1109@TVCG.2012.200,,8
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_01_T10.jpg,1272384,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_02_T10.jpg,1740480,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_03_T10.jpg,1955016,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_04_T10.jpg,2797416,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_06_T10.jpg,1158777,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_07_T10.jpg,1858710,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_08_T10.jpg,1702848,1
10.1109@TVCG.2012.200,10.1109@TVCG.2012.200_08_09_T10.jpg,4225536,1
2012T10,10.1109@TVCG.2012.209,,10
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_01_T10.jpg,1355631,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_02_T10.jpg,541824,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_03_T10.jpg,662337,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_04_T10.jpg,654387,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_05_T10.jpg,1423524,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_06_T10.jpg,517704,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_07_T10.jpg,1836768,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_08_T10.jpg,2232525,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_09_T10.jpg,1284228,1
10.1109@TVCG.2012.209,10.1109@TVCG.2012.209_10_10_T10.jpg,3067722,1
2012T10,10.1109@TVCG.2012.228,,11
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_01_T10.jpg,2450034,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_02_T10.jpg,311916,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_03_T10.jpg,289275,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_04_T10.jpg,530292,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_05_T10.jpg,2121060,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_06_T10.jpg,730848,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_07_T10.jpg,4553256,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_08_T10.jpg,638448,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_09_T10.jpg,3977268,1
10.1109@TVCG.2012.228,10.1109@TVCG.2012.228_11_10_T10.jpg,720636,1
