paperID,imageID,size,uncertainty
,2009T09,,3
2009T09,10.1109@TVCG.2009.112,,10
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_02_T09.jpg,3670065,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_03_T09.jpg,758901,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_04_T09.jpg,1323864,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_05_T09.jpg,1328124,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_06_T09.jpg,1321605,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_07_T09.jpg,1397115,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_08_T09.jpg,1316088,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_09_T09.jpg,1291458,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_10_T09.jpg,2015928,1
10.1109@TVCG.2009.112,10.1109@TVCG.2009.112_10_11_T09.jpg,3608622,1
2009T09,10.1109@TVCG.2009.170,,13
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_01_T09.jpg,1765566,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_02_T09.jpg,955272,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_03_T09.jpg,585822,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_04_T09.jpg,314475,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_05_T09.jpg,2865000,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_06_T09.jpg,1009536,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_07_T09.jpg,873768,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_08_T09.jpg,546858,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_09_T09.jpg,609924,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_10_T09.jpg,828780,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_11_T09.jpg,745920,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_12_T09.jpg,830367,1
10.1109@TVCG.2009.170,10.1109@TVCG.2009.170_13_13_T09.jpg,2134080,1
2009T09,10.1109@TVCG.2009.184,,7
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_01_T09.jpg,1522683,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_02_T09.jpg,2199120,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_03_T09.jpg,2175618,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_04_T09.jpg,496419,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_05_T09.jpg,526140,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_06_T09.jpg,2164500,1
10.1109@TVCG.2009.184,10.1109@TVCG.2009.184_07_07_T09.jpg,5306112,1
