paperID,imageID,size,uncertainty
,2007T04,,4
2007T04,10.1109@TVCG.2007.70535,,9
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_01_T04.jpg,642840,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_02_T04.jpg,829125,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_03_T04.jpg,800352,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_04_T04.jpg,678282,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_05_T04.jpg,716472,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_06_T04.jpg,627288,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_07_T04.jpg,424926,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_08_T04.jpg,662964,1
10.1109@TVCG.2007.70535,10.1109@TVCG.2007.70535_09_09_T04.jpg,573888,1
2007T04,10.1109@TVCG.2007.70540,,8
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_01_T04.jpg,1002168,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_02_T04.jpg,799227,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_03_T04.jpg,980760,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_04_T04.jpg,966537,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_05_T04.jpg,979848,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_06_T04.jpg,1893540,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_07_T04.jpg,2445696,1
10.1109@TVCG.2007.70540,10.1109@TVCG.2007.70540_08_08_T04.jpg,2333016,1
2007T04,10.1109@TVCG.2007.70600,,7
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_01_T04.jpg,616032,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_02_T04.jpg,691353,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_03_T04.jpg,2399856,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_04_T04.jpg,284160,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_05_T04.jpg,458577,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_06_T04.jpg,850500,1
10.1109@TVCG.2007.70600,10.1109@TVCG.2007.70600_07_07_T04.jpg,1445760,1
2007T04,10.1109@VAST.2007.4388996,,9
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_01_T04.jpg,1193148,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_02_T04.jpg,1260090,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_03_T04.jpg,1106016,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_04_T04.jpg,495000,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_05_T04.jpg,327240,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_06_T04.jpg,806679,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_07_T04.jpg,1007382,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_08_T04.jpg,736302,1
10.1109@VAST.2007.4388996,10.1109@VAST.2007.4388996_09_09_T04.jpg,741150,1
